objName	objID	raMean	decMean	raMeanErr	decMeanErr	nDetections	randomID	projectionID	skyCellID	objInfoFlag	qualityFlag	raStack	decStack	raStackErr	decStackErr	epochMean	nStackDetections	ng	nr	ni	nz	ny	gQfPerfect	gMeanPSFMag	gMeanPSFMagErr	gMeanKronMag	gMeanKronMagErr	gMeanApMag	gMeanApMagErr	gFlags	rQfPerfect	rMeanPSFMag	rMeanPSFMagErr	rMeanKronMag	rMeanKronMagErr	rMeanApMag	rMeanApMagErr	rFlags	iQfPerfect	iMeanPSFMag	iMeanPSFMagErr	iMeanKronMag	iMeanKronMagErr	iMeanApMag	iMeanApMagErr	iFlags	zQfPerfect	zMeanPSFMag	zMeanPSFMagErr	zMeanKronMag	zMeanKronMagErr	zMeanApMag	zMeanApMagErr	zFlags	yQfPerfect	yMeanPSFMag	yMeanPSFMagErr	yMeanKronMag	yMeanKronMagErr	yMeanApMag	yMeanApMagErr	yFlags	Ang Sep (')
string	integer	ra	dec	float	float	integer	double	integer	integer	integer	integer	ra	dec	float	float	double	integer	integer	integer	integer	integer	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float
PSO J084022.170+194017.404	131601300923686268	08 40 22.169	+19 40 17.33	0.011	0.011	2	0.953066687987248	1709	94	310456320	37			-999.000	-999.000	55522.561875	0	0	0	0	0	2	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.946	12.979	0.175	11.206	0.001	12.443	0.018	16778264	0.036
PSO J084022.201+194016.294	131601300927855913	08 40 22.202	+19 40 16.29	0.001	0.001	2	0.08842381284425389	1709	94	1343750144	160	08 40 22.202	+19 40 16.29	0.001	0.001	55997.24627315	1	0	0	0	0	2	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.844	13.324	0.083	-999.000	-999.000	13.295	0.158	118840	0.053
PSO J084022.510+194016.905	131601300938306146	08 40 22.507	+19 40 16.87	0.033	0.033	3	0.9984780047074689	1709	94	1350643712	161	08 40 22.485	+19 40 17.37	0.001	0.001	55590.37290509	1	1	0	2	0	0	0.870	14.772	0.002	10.929	0.001	14.548	0.002	16777240	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.000	7.626	0.000	15.213	0.000	-999.000	-999.000	24	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	114720	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.084
PSO J084022.257+194013.427	131601300927045151	08 40 22.257	+19 40 13.43	0.237	0.237	2	0.094056351197936	1709	94	268959744	32			-999.000	-999.000	55958.53697917	0	2	0	0	0	0	0.000	6.898	-999.000	-999.000	-999.000	-999.000	-999.000	24	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.101
PSO J084022.258+194013.043	131601300928094713	08 40 22.258	+19 40 13.04	0.001	0.001	3	0.400993615762325	1709	94	1343750144	160	08 40 22.258	+19 40 13.04	0.001	0.001	55847.92685185	1	0	0	3	0	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.000	6.685	0.041	12.131	0.001	-999.000	-999.000	24	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	114720	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.108
PSO J084021.841+194015.079	131601300909925655	08 40 21.840	+19 40 15.00	0.009	0.009	7	0.442060726175141	1709	94	276901888	33			-999.000	-999.000	55975.74753472	0	2	1	0	4	0	0.877	14.125	8.530e-4	11.916	0.001	13.525	0.277	16777240	0.000	13.754	0.001	-999.000	-999.000	13.943	0.001	24	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.924	13.280	0.048	11.431	0.043	12.492	0.029	16777240	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.113
PSO J084022.044+194012.642	131601300919634874	08 40 22.045	+19 40 12.64	0.150	0.150	5	0.132043697994243	1709	94	268959744	32			-999.000	-999.000	55553.50834491	0	2	0	0	2	1	0.014	7.778	0.096	11.013	0.020	13.587	0.313	24	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.005	6.557	0.031	10.343	0.180	12.862	0.080	16	0.036	6.376	0.001	8.805	0.001	10.257	0.001	16	0.119
PSO J084021.786+194014.411	131601300907935108	08 40 21.784	+19 40 14.33	0.030	0.030	3	0.565830271286732	1709	94	276901888	33			-999.000	-999.000	56021.34472222	0	0	0	1	2	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.000	8.498	0.001	12.651	0.001	15.423	0.001	16	0.851	12.282	0.347	10.469	0.251	11.622	0.287	16777240	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.130
PSO J084021.918+194012.608	131601300913384572	08 40 21.918	+19 40 12.61	0.237	0.237	2	0.748498152707236	1709	94	268959744	32			-999.000	-999.000	56495.76673611	0	0	0	1	1	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.000	5.313	0.001	10.482	0.001	-999.000	-999.000	16	0.000	7.138	0.001	10.911	0.001	-999.000	-999.000	24	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.132
