K2 ID	Dataset Name	Campaign	Object type	RA (J2000)	Dec (J2000)	Target Type	Actual Start Time	Actual End Time	Investigation ID	R Mag	R Mag Err	J Mag	J Mag Err	KEP Mag	Kep Flag	Hip ID	Tyc ID	SDSS ID	UCAC ID	2MASS ID	2MASS Flag	Module	Output	Channel	Ang Sep (')
integer	string	integer	substring	ra	dec	ustring	datetime	datetime	string	float	float	float	float	float	string	integer	string	string	string	string	string	integer	integer	integer	float
228682410	K2EVEREST228682410-C05	5		08 51 19.901	+11 48 40.68	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5001					18.530								6	1	13	0.069
228682441	K2EVEREST228682441-C05	5		08 51 30.590	+11 48 54.90	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5018					13.310								6	1	13	2.567
228682412	K2EVEREST228682412-C05	5		08 51 34.879	+11 42 17.82	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5001					19.510								6	1	13	7.366
211410963	K2EVEREST211410963-C05	5	STAR	08 50 29.051	+11 48 23.42	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5031	18.799	0.009	16.039	0.080	18.602	gri			5972-301-6-0116-0470		08502905+1148234		6	1	13	12.503
211413327	K2EVEREST211413327-C05	5	STAR	08 50 28.921	+11 50 29.09	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5031	17.504	0.005	15.300	0.046	17.494	gri			5972-301-6-0116-0360		08502891+1150290		6	1	13	12.655
211408500	K2EVEREST211408500-C05	5	STAR	08 50 29.224	+11 46 15.58	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5031	19.179	0.012	16.391	0.107	18.937	gri			5972-301-6-0116-0467		08502922+1146155		6	1	13	12.698
228682444	K2EVEREST228682444-C05	5		08 51 22.466	+11 35 59.60	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5031					19.800								6	1	13	12.737
211411112	K2EVEREST211411112-C05	5	STAR	08 50 26.988	+11 48 31.31	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5018_GO5031_GO5048	13.184	0.020	12.177	0.021	13.405	gri				510-048372	08502698+1148313		6	1	13	13.006
211397319	K2EVEREST211397319-C05	5	STAR	08 51 06.541	+11 35 58.96	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5019_GO5031_GO5048			13.343	0.021	14.535	JHK				508-049213	08510654+1135589		6	1	13	13.162
211396798	K2EVEREST211396798-C05	5	STAR	08 51 19.375	+11 35 30.70	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5048			14.961	0.037	16.317	JHK				508-049241	08511938+1135307		6	1	13	13.207
211397127	K2EVEREST211397127-C05	5	STAR	08 51 07.128	+11 35 48.61	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5019_GO5031_GO5048			13.023	0.023	14.153	JHK				508-049214	08510714+1135486		6	1	13	13.294
211396551	K2EVEREST211396551-C05	5	STAR	08 51 18.853	+11 35 17.61	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5048			14.395	0.029	15.836	JHK				508-049237	08511886+1135177		6	1	13	13.428
211416648	K2EVEREST211416648-C05	5	STAR	08 50 28.687	+11 53 30.12	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5031_GO5048			14.653	0.032	16.425	JHK			5972-301-6-0116-0368	510-048375	08502868+1153300		6	1	13	13.465
211396381	K2EVEREST211396381-C05	5	STAR	08 51 24.239	+11 35 08.74	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5048			14.986	0.038	16.276	JHK				508-049247	08512423+1135087		6	1	13	13.609
211396420	K2EVEREST211396420-C05	5	STAR	08 51 13.730	+11 35 11.05	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5006_GO5048_GO5097			13.639	0.024	15.559	JHK					08511372+1135110		6	1	13	13.624
211396273	K2EVEREST211396273-C05	5	STAR	08 51 21.398	+11 35 03.73	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5031			16.472	0.119	18.962	JHK					08512139+1135037		6	1	13	13.659
