K2 ID	Dataset Name	Campaign	Object type	RA (J2000)	Dec (J2000)	Target Type	Actual Start Time	Actual End Time	Investigation ID	R Mag	R Mag Err	J Mag	J Mag Err	KEP Mag	Kep Flag	Hip ID	Tyc ID	SDSS ID	UCAC ID	2MASS ID	2MASS Flag	Module	Output	Channel	Ang Sep (')
integer	string	integer	substring	ra	dec	ustring	datetime	datetime	string	float	float	float	float	float	string	integer	string	string	string	string	string	integer	integer	integer	float
219622634	K2EVEREST219622634-C07	7	STAR	19 16 40.735	-16 16 41.06	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			7.954	0.032	8.440	BV		6296-1802-1		369-165846	19164073-1616411	AAA-111-111-000-0-0	10	4	32	0.423
219605951	K2EVEREST219605951-C07	7	STAR	19 16 46.628	-16 19 20.93	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	10.342	0.040	9.338	0.026	10.387	gri		6296-1123-1		369-165880	19164662-1619208	AAA-222-111-000-0-0	10	4	32	2.616
219599730	K2EVEREST219599730-C07	7	STAR	19 16 33.388	-16 20 21.60	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	10.210	0.040	9.178	0.030	10.282	gri		6296-1809-1		369-165789	19163339-1620215	AAA-122-111-000-0-0	10	4	32	3.961
219652181	K2EVEREST219652181-C07	7	STAR	19 16 48.230	-16 11 52.34	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			9.110	0.029	9.763	BV		6296-1256-1		370-168739	19164823-1611522	AAA-112-111-000-0-0	10	4	32	5.322
219648746	K2EVEREST219648746-C07	7	STAR	19 16 56.705	-16 12 26.43	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			8.588	0.048	9.695	BV		6296-1453-1		369-165954	19165670-1612265	AAA-111-111-000-0-0	10	4	32	5.750
219609927	K2EVEREST219609927-C07	7	STAR	19 16 10.009	-16 18 43.26	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	10.378	0.030	9.339	0.024	10.398	gri		6296-1482-1		369-165653	19161000-1618431	AAA-222-111-000-0-0	10	4	32	7.872
219664556	K2EVEREST219664556-C07	7	STAR	19 16 21.691	-16 09 51.11	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	10.592	0.030	9.592	0.021	10.602	gri		6296-1217-1		370-168547	19162169-1609510	AAA-222-111-000-0-0	10	4	32	8.635
219676654	K2EVEREST219676654-C07	7	STAR	19 16 33.442	-16 07 51.52	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	10.346	0.040	9.316	0.023	10.318	gri		6296-1416-1		370-168630	19163344-1607515	AAA-222-111-000-0-0	10	4	32	9.350
219561713	K2EVEREST219561713-C07	7	STAR	19 16 43.889	-16 26 24.11	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			8.437	0.029	9.142	BV		6296-2013-1		368-170183	19164388-1626239	AAA-111-111-000-0-0	10	4	32	9.433
219560884	K2EVEREST219560884-C07	7	STAR	19 16 39.774	-16 26 31.73	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			9.105	0.034	10.207	BV		6296-1424-1		368-170150	19163976-1626316	AAA-122-111-000-0-0	10	4	32	9.564
219576178	K2EVEREST219576178-C07	7	STAR	19 16 14.556	-16 24 07.28	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			8.002	0.020	9.719	BV		6296-1493-1		368-169975	19161456-1624071	AAA-111-111-000-0-0	10	4	32	9.714
219655998	K2EVEREST219655998-C07	7	STAR	19 16 08.652	-16 11 14.82	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	9.720	0.040	8.626	0.020	9.761	gri		6296-1148-1		370-168454	19160865-1611148	AAA-111-111-000-0-0	10	4	32	9.846
219630458	K2EVEREST219630458-C07	7	STAR	19 15 58.414	-16 15 25.82	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	10.200	0.040	9.197	0.026	10.217	gri		6296-377-1		369-165565	19155841-1615258	AAA-222-111-000-0-0	10	4	32	10.573
219646472	K2EVEREST219646472-C07	7	STAR	19 17 23.834	-16 12 48.91	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	9.991	0.040	9.261	0.156	9.972	gri		6296-1711-1		369-166117	19172382-1612488	BAA-122-111-000-0-0	10	4	32	10.870
219594140	K2EVEREST219594140-C07	7	STAR	19 15 51.210	-16 21 15.34	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7070	14.824	0.020	13.731	0.029	14.855	gri				369-165511	19155121-1621152	AAA-222-111-000-0-0	10	4	32	12.914
219602352	K2EVEREST219602352-C07	7	STAR	19 15 49.176	-16 19 56.16	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7070			14.715	0.043	16.262	JHK				369-165500	19154916-1619560	AAA-222-111-000-0-0	10	4	32	13.015
219677923	K2EVEREST219677923-C07	7	STAR	19 17 19.849	-16 07 38.47	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	10.031	0.010	8.962	0.029	10.003	gri		6296-1277-1		370-168920	19171984-1607383	AAA-112-111-000-0-0	10	4	32	13.030
219584539	K2EVEREST219584539-C07	7	STAR	19 15 52.693	-16 22 47.03	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7070			13.424	0.021	15.101	BV				369-165521	19155269-1622470	AAA-222-111-000-0-0	10	4	32	13.177
219582870	K2EVEREST219582870-C07	7	STAR	19 15 53.050	-16 23 03.04	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7070			13.816	0.026	15.772	JHK				369-165522	19155304-1623030	AAA-222-111-000-0-0	10	4	32	13.220
219599652	K2EVEREST219599652-C07	7	STAR	19 15 48.431	-16 20 22.25	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7070	14.680	0.040	12.937	0.024	14.647	gri				369-165494	19154843-1620221	AAA-222-111-000-0-0	10	4	32	13.294
219580919	K2EVEREST219580919-C07	7	STAR	19 15 53.233	-16 23 21.96	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7070	15.274	0.030	13.964	0.024	15.202	gri				369-165524	19155323-1623219	AAA-222-111-000-0-0	10	4	32	13.329
219539381	K2EVEREST219539381-C07	7	STAR	19 16 58.379	-16 29 53.37	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7070	13.799	0.010	12.661	0.024	13.845	gri				368-170293	19165837-1629533	AAA-222-111-000-0-0	10	4	32	13.494
219544821	K2EVEREST219544821-C07	7	STAR	19 17 11.112	-16 29 02.26	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7030	13.210	0.030	11.360	0.023	13.140	gri				368-170384	19171111-1629022	AAA-222-111-000-0-0	10	4	32	13.933
219659896	K2EVEREST219659896-C07	7	STAR	19 17 33.774	-16 10 36.93	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7030_GO7035	13.100	0.040	11.738	0.022	13.141	gri				370-169007	19173377-1610369	AAA-222-111-000-0-0	10	4	32	13.962
219659948	K2EVEREST219659948-C07	7	STAR	19 17 35.434	-16 10 36.42	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7030	13.109	0.030	11.820	0.022	13.135	gri				370-169019	19173543-1610363	AAA-222-111-000-0-0	10	4	32	14.322
