objName	objID	raMean	decMean	raMeanErr	decMeanErr	nDetections	randomID	projectionID	skyCellID	objInfoFlag	qualityFlag	raStack	decStack	raStackErr	decStackErr	epochMean	nStackDetections	ng	nr	ni	nz	ny	gQfPerfect	gMeanPSFMag	gMeanPSFMagErr	gMeanKronMag	gMeanKronMagErr	gMeanApMag	gMeanApMagErr	gFlags	rQfPerfect	rMeanPSFMag	rMeanPSFMagErr	rMeanKronMag	rMeanKronMagErr	rMeanApMag	rMeanApMagErr	rFlags	iQfPerfect	iMeanPSFMag	iMeanPSFMagErr	iMeanKronMag	iMeanKronMagErr	iMeanApMag	iMeanApMagErr	iFlags	zQfPerfect	zMeanPSFMag	zMeanPSFMagErr	zMeanKronMag	zMeanKronMagErr	zMeanApMag	zMeanApMagErr	zFlags	yQfPerfect	yMeanPSFMag	yMeanPSFMagErr	yMeanKronMag	yMeanKronMagErr	yMeanApMag	yMeanApMagErr	yFlags	Ang Sep (')
string	integer	ra	dec	float	float	integer	double	integer	integer	integer	integer	ra	dec	float	float	double	integer	integer	integer	integer	integer	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float
PSO J191641.905-161656.805	88462891746041418	19.2783070	-16.2824459	-999.000	-999.000	2	0.787248594488249	949	94	268959744	32	-66.6000000	-999.0000000	-999.000	-999.000	-999	0	0	1	1	0	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	24	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	24	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.040
PSO J191641.854-161659.909	88462891742890453	19.2782913	-16.2833364	0.011	0.011	2	0.605731728119526	949	94	268513280	32	-66.6000000	-999.0000000	-999.000	-999.000	55769.4144213	0	2	0	0	0	0	0.000	16.331	0.118	16.516	0.188	16.861	0.006	24	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.042
PSO J191642.174-161700.748	88452891754899884	19.2783817	-16.2835587	0.080	0.080	2	0.546931760895002	949	94	310456320	37	-66.6000000	-999.0000000	-999.000	-999.000	55463.28359954	0	0	1	0	0	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	18.035	0.014	-999.000	-999.000	24	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.024	19.262	0.079	17.556	0.049	18.160	0.079	16777752	0.054
PSO J191642.224-161700.578	88462891759380178	19.2783952	-16.2835059	0.034	0.040	23	0.789558364813736	949	94	444915712	53	19.2783958	-16.2834898	0.001	0.001	56338.81482639	3	2	3	11	7	0	0.855	21.299	0.083	21.395	0.127	21.544	0.083	16793912	0.998	20.515	0.049	19.742	0.052	19.921	0.049	16892216	1.000	20.192	0.024	19.276	0.066	19.484	0.032	16892216	1.000	19.700	0.059	18.975	0.212	19.196	0.116	16892216	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	0.061
PSO J191641.672-161703.425	88452891736009178	19.2782418	-16.2843103	0.022	0.022	6	0.189233794053303	949	94	444751872	53	19.2782424	-16.2842861	0.001	0.001	55731.99989583	2	0	0	3	3	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	0.998	19.968	0.000	17.515	0.000	18.763	0.000	16793912	0.997	20.185	0.208	-999.000	-999.000	19.803	0.315	16892216	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	114720	0.112
PSO J191641.778-161705.425	88452891739888365	19.2782714	-16.2848655	0.032	0.032	5	0.802353541182683	949	94	310452224	37	-66.6000000	-999.0000000	-999.000	-999.000	56522.28956019	0	0	2	2	1	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.880	21.066	0.078	21.417	0.157	21.411	0.078	16777496	0.998	20.027	0.040	18.094	0.024	18.941	0.040	16777496	0.756	19.559	0.094	-999.000	-999.000	19.568	0.094	4120	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.124
PSO J191642.524-161658.807	88462891772090807	19.2784788	-16.2830265	0.007	0.008	63	0.898974343108921	949	94	444915712	53	19.2784789	-16.2830021	0.001	0.001	55987.58440972	5	8	12	17	13	13	1.000	20.038	0.033	19.505	0.037	19.581	0.042	16892216	0.999	19.461	0.040	-999.000	-999.000	18.745	0.317	16892216	1.000	19.367	0.012	19.273	0.065	19.198	0.039	16892216	0.999	19.292	0.025	19.339	0.072	19.168	0.091	16892216	0.999	19.028	0.031	18.559	0.093	18.659	0.059	16892216	0.126
PSO J191641.449-161702.190	88452891727089602	19.2781801	-16.2839652	0.034	0.034	5	0.0547445538032284	949	94	444751872	53	19.2781785	-16.2839733	0.001	0.001	56296.60059028	1	0	0	2	3	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	0.998	20.358	0.072	19.034	0.078	19.527	0.036	16793912	0.998	20.181	0.082	19.739	0.282	19.680	0.367	16892216	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	0.144
PSO J191642.538-161653.358	88462891772612484	19.2784825	-16.2815109	0.011	0.015	47	0.6382390089689191	949	94	444915712	53	19.2784826	-16.2814938	0.001	0.001	55976.9221875	4	5	7	14	10	11	0.999	20.993	0.090	19.870	0.048	20.304	0.031	16793912	0.999	20.137	0.124	18.614	0.000	20.113	0.024	16892216	1.000	19.817	0.018	19.491	0.105	19.395	0.074	16892216	0.999	19.753	0.064	19.748	0.062	19.635	0.048	115000	0.999	19.305	0.040	18.523	0.079	18.753	0.050	16892216	0.157
PSO J191641.473-161707.265	88452891728027946	19.2781866	-16.2853736	0.013	0.018	40	0.567952534712807	949	94	444915712	53	19.2781871	-16.2853517	0.001	0.001	56036.28289352	5	2	7	16	8	7	0.999	20.014	0.065	18.766	0.246	19.307	0.124	16892216	1.000	19.437	0.099	19.593	0.257	19.482	0.562	16892216	0.999	19.183	0.026	19.033	0.062	18.918	0.067	16892216	0.998	19.024	0.076	18.979	0.162	18.874	0.057	16892216	0.999	18.886	0.053	18.644	0.070	18.504	0.089	16892216	0.191
PSO J191641.822-161710.898	88452891742886758	19.2782834	-16.2863780	0.027	0.018	25	0.21836061144095	949	94	436527104	52	19.2782833	-16.2863532	0.001	0.001	56127.67577546	3	0	0	9	8	8	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	0.999	20.657	0.061	20.686	0.028	20.544	0.066	16892216	0.998	20.051	0.074	20.069	0.064	19.961	0.088	115000	0.999	19.436	0.044	19.060	0.316	18.927	0.119	16892216	0.207
PSO J191642.575-161708.418	88452891773597638	19.2784931	-16.2856994	0.151	0.151	2	0.327546998232181	949	94	310456320	37	-66.6000000	-999.0000000	-999.000	-999.000	56041.61780093	0	0	0	0	1	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.997	20.689	0.150	19.914	0.168	20.015	0.150	16777496	6.020e-4	19.110	0.081	18.429	0.058	18.370	0.081	16781336	0.213
