,EPIC,gmag,rmag,imag,zmag,ymag,J,H,K,RAJ2000,DEJ2000
4,211986537,14.965,13.68,13.151,,,11.833,11.175999999999998,11.022,130.314,20.0378
8,211992451,,,,,,12.530999999999999,11.898,11.639000000000001,130.352,20.1304
10,211988997,,,,14.4086,14.1113,12.841,12.272,11.974,130.45600000000002,20.0767
11,211990953,13.732000000000001,12.751,12.398,,,11.243,10.717,10.599,130.495,20.1075
13,211986473,10.4,9.777000000000001,9.362,,,8.676,8.455,8.408,130.584,20.0366
17,211996831,11.792,11.265,11.067,,,10.259,9.902999999999999,9.831,130.13299999999998,20.2017
24,211931309,9.716000000000001,9.245,8.591000000000001,,,8.083,7.994,7.9639999999999995,130.137,19.1943
32,211931411,15.228,13.862,13.187000000000001,,,11.649000000000001,11.013,10.834000000000001,130.45600000000002,19.1964
34,211938003,,,,14.3723,14.0768,12.834000000000001,12.186,11.960999999999999,129.683,19.294
36,211937293,16.734,15.418,14.308,,,12.629000000000001,11.933,11.741,129.73,19.2838
39,211940093,12.814,12.044,11.808,,,10.73,10.372,10.259,129.76,19.3262
44,211937468,,,,,,13.043,12.386,12.208,129.814,19.2865
49,211935711,15.114,13.787,13.277999999999999,,,11.809000000000001,11.182,11.01,129.90200000000002,19.2605
50,211936696,,8.965,7.957999999999999,,,7.226,,,129.936,19.2752
51,211942823,10.89,10.493,10.39,,,9.565,9.357000000000001,9.259,129.941,19.367
52,211932810,16.226,14.787,13.96,,,12.345,11.68,11.505999999999998,129.944,19.2178
54,211939206,10.450999999999999,10.116,10.002,,,9.283,9.091000000000001,9.008,129.968,19.3126
57,211931736,10.025,9.646,9.302,,,8.692,8.51,8.482000000000001,129.99200000000002,19.2016
59,211939015,15.177999999999999,13.843,13.229000000000001,,,11.744000000000002,11.095999999999998,10.918,130.003,19.3096
60,211938860,11.32,10.755999999999998,10.58,,,9.701,9.321,9.228,130.02700000000002,19.3074
64,211941583,,,,,,6.169,,6.045,130.084,19.349
65,211932923,13.366,12.484000000000002,12.187999999999999,,,11.088,10.583,10.460999999999999,130.109,19.2194
66,211936906,11.436,10.968,10.837,,,10.012,9.698,9.655,130.114,19.278
68,211933524,,8.969,8.039,,,7.329,7.242999999999999,7.23,130.16299999999998,19.2283
