K2 ID,Dataset Name,Campaign,Object type,RA (J2000),Dec (J2000),Target Type,Ref,Actual Start Time,Actual End Time,Investigation ID,R Mag,R Mag Err,J Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Module,Output,Channel,High-Level Science Products,J Mag,H Mag,K Mag
integer,string,integer,substring,ra,dec,ustring,integer,datetime,datetime,string,float,float,float,float,string,integer,string,string,string,string,string,integer,integer,integer,integer,float,float,float
219396051,KTWO219396051-C07,7,STAR,19 17 50.579,-16 51 09.43,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035_GO7084,12.803,0.02,0.024,12.825,gri,,,,366-167067,19175056-1651094,AAA-222-111-000-0-0,10,1,29,13,11.215,10.685,10.565
219444181,KTWO219444181-C07,7,STAR,19 15 28.217,-16 44 11.40,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,,,0.024,12.674,JHK,,,,367-162246,19152821-1644113,AAA-222-111-000-0-0,10,4,32,13,11.365,10.995,10.871
219519432,KTWO219519432-C07,7,STAR,19 16 05.048,-16 32 58.14,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7030_GO7035,11.626,0.04,0.026,11.635,gri,,6296-1672-1,,368-169905,19160505-1632579,AEA-222-111-000-0-0,10,4,32,13,10.778,,10.346
219560884,KTWO219560884-C07,7,STAR,19 16 39.774,-16 26 31.73,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,,,0.034,10.207,BV,,6296-1424-1,,368-170150,19163976-1626316,AAA-122-111-000-0-0,10,4,32,15,9.105,8.872,8.78
219561713,KTWO219561713-C07,7,STAR,19 16 43.889,-16 26 24.11,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,,,0.029,9.142,BV,,6296-2013-1,,368-170183,19164388-1626239,AAA-111-111-000-0-0,10,4,32,15,8.437,8.351,8.297
219576178,KTWO219576178-C07,7,STAR,19 16 14.556,-16 24 07.28,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,,,0.02,9.719,BV,,6296-1493-1,,368-169975,19161456-1624071,AAA-111-111-000-0-0,10,4,32,15,8.002,7.506,7.384
219599554,KTWO219599554-C07,7,STAR,19 14 02.227,-16 20 23.16,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,13.748,0.02,0.022,13.757,gri,,,,369-164757,19140222-1620231,AAA-222-111-000-0-0,10,4,32,13,12.11,11.548,11.44
219599730,KTWO219599730-C07,7,STAR,19 16 33.388,-16 20 21.60,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,10.21,0.04,0.03,10.282,gri,,6296-1809-1,,369-165789,19163339-1620215,AAA-122-111-000-0-0,10,4,32,15,9.178,8.953,8.846
219605951,KTWO219605951-C07,7,STAR,19 16 46.628,-16 19 20.93,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,10.342,0.04,0.026,10.387,gri,,6296-1123-1,,369-165880,19164662-1619208,AAA-222-111-000-0-0,10,4,32,15,9.338,9.032,8.973
219609927,KTWO219609927-C07,7,STAR,19 16 10.009,-16 18 43.26,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,10.378,0.03,0.024,10.398,gri,,6296-1482-1,,369-165653,19161000-1618431,AAA-222-111-000-0-0,10,4,32,15,9.339,9.059,8.983
219622634,KTWO219622634-C07,7,STAR,19 16 40.735,-16 16 41.06,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,,,0.032,8.44,BV,,6296-1802-1,,369-165846,19164073-1616411,AAA-111-111-000-0-0,10,4,32,15,7.954,7.98,7.9
219626912,KTWO219626912-C07,7,STAR,19 15 41.825,-16 16 00.06,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,,,0.071,18.58,JHK,,,,,19154182-1616000,AAB-222-111-000-0-0,10,4,32,13,16.062,15.386,15.098
219630699,KTWO219630699-C07,7,STAR,19 14 12.455,-16 15 23.68,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035_GO7056,13.404,0.01,0.021,13.406,gri,,,,369-164826,19141245-1615236,AAA-222-111-000-0-0,10,4,32,13,12.092,11.522,11.438
219648746,KTWO219648746-C07,7,STAR,19 16 56.705,-16 12 26.43,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,,,0.048,9.695,BV,,6296-1453-1,,369-165954,19165670-1612265,AAA-111-111-000-0-0,10,4,32,15,8.588,8.271,8.218
219652181,KTWO219652181-C07,7,STAR,19 16 48.230,-16 11 52.34,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,,,0.029,9.763,BV,,6296-1256-1,,370-168739,19164823-1611522,AAA-112-111-000-0-0,10,4,32,15,9.11,9.012,8.936
219655998,KTWO219655998-C07,7,STAR,19 16 08.652,-16 11 14.82,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,9.72,0.04,0.02,9.761,gri,,6296-1148-1,,370-168454,19160865-1611148,AAA-111-111-000-0-0,10,4,32,15,8.626,8.372,8.297
219664556,KTWO219664556-C07,7,STAR,19 16 21.691,-16 09 51.11,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,10.592,0.03,0.021,10.602,gri,,6296-1217-1,,370-168547,19162169-1609510,AAA-222-111-000-0-0,10,4,32,15,9.592,9.31,9.256
219676654,KTWO219676654-C07,7,STAR,19 16 33.442,-16 07 51.52,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,10.346,0.04,0.023,10.318,gri,,6296-1416-1,,370-168630,19163344-1607515,AAA-222-111-000-0-0,10,4,32,15,9.316,9.047,8.952
219712041,KTWO219712041-C07,7,STAR,19 14 19.975,-16 01 54.48,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,,,0.035,16.941,JHK,,,,,19141997-1601544,AAA-222-111-000-0-0,10,4,32,13,15.034,14.345,14.279
219716873,KTWO219716873-C07,7,STAR,19 15 57.521,-16 01 05.21,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,13.317,0.05,0.022,13.327,gri,,,,370-168370,19155752-1601052,AAA-222-111-000-0-0,10,4,32,13,11.739,11.288,11.165
219753819,KTWO219753819-C07,7,STAR,19 15 29.135,-15 54 42.47,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7035,13.597,0.05,,13.591,gri,,,,371-164951,,,10,4,32,13,,,
219810798,KTWO219810798-C07,7,STAR,19 15 30.679,-15 44 27.09,LC,,2015-10-04 18:07:22,2015-12-26 08:20:45,GO7030_GO7035,12.871,0.01,0.022,12.858,gri,,,,372-160310,19153067-1544271,AAA-222-111-000-0-0,10,4,32,13,11.661,11.269,11.181
